,schedule_date,schedule_season,schedule_week,schedule_playoff,team_favorite_id,spread_favorite,over_under_line,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,"winner(0_away,1_home,2_tie)",team_name_home,team_conference_home,team_division_home,team_conference_pre2002_home,team_division_pre2002_home,team_name_away,team_conference_away,team_division_away,team_conference_pre2002_away,team_division_pre2002_away,stadium_name,stadium_type,stadium_weather_type,stadium_surface,stadium_latitude,stadium_longitude,stadium_elevation
7354,932000,2000,1,0,1,-6.5,46.5,0,72.0,0.0,-1.0,1,1,1,1,6,1,8,34,1,8,1,8,35,0,3,-1,33.758,-84.401,-1.0
7355,932000,2000,1,0,5,-1.0,40,0,70.0,7.0,82.0,-1,1,5,0,2,0,2,40,0,1,0,4,82,1,-1,-1,42.889,-78.8901,178.0
7356,932000,2000,1,0,17,-10.5,38.5,0,75.0,8.0,86.0,-1,0,9,0,0,0,4,17,0,1,0,4,29,1,-1,-1,41.506111,-81.699444,238.0
7357,932000,2000,1,0,10,-6.0,39.5,0,95.0,7.0,32.0,-1,0,10,1,7,1,7,30,1,7,1,7,102,1,-1,-1,32.84,-96.911,163.4
7358,932000,2000,1,0,13,-2.5,44,0,69.0,13.0,87.0,-1,0,13,1,5,1,9,28,1,2,1,2,50,1,-1,-1,44.501389,-88.062222,209.4
7359,932000,2000,1,0,16,-3.5,44,0,86.0,9.0,51.0,-1,0,18,0,3,0,3,16,0,1,0,2,7,1,-1,-1,39.048889,-94.483889,264.9
7360,932000,2000,1,0,23,-2.0,36,0,84.0,9.0,74.0,-1,1,23,0,2,0,2,35,1,8,0,3,99,1,-1,-1,25.7905,-80.3163,8.8
7361,932000,2000,1,0,24,-4.5,46.5,0,72.0,0.0,-1.0,1,1,24,1,5,1,9,7,1,5,1,9,44,0,3,-1,44.973889,-93.258056,-1.0
7362,932000,2000,1,0,38,-3.0,36,0,63.0,8.0,95.0,-1,0,25,0,2,0,2,38,1,6,1,9,31,1,-1,-1,42.0927,-71.267442,24.4
7363,932000,2000,1,0,-1,0.0,40.5,0,72.0,0.0,-1.0,1,0,26,1,6,1,8,12,1,5,1,9,56,0,3,-1,29.950833,-90.081111,-1.0
7364,932000,2000,1,0,27,-6.5,40,0,78.0,7.0,84.0,-1,1,27,1,7,1,7,0,1,8,1,8,36,1,-1,-1,40.812222,-74.076944,2.1
7365,932000,2000,1,0,29,-6.5,39.5,0,60.0,12.0,77.0,-1,1,29,0,3,0,3,33,0,3,0,3,74,1,-1,-1,37.751667,-122.200556,1.8
7366,932000,2000,1,0,3,-2.5,37,0,73.0,5.0,90.0,-1,0,32,0,0,0,4,3,0,0,0,4,103,1,-1,-1,40.446667,-80.012778,366.7
7367,932000,2000,1,0,43,-10.5,47.5,0,76.0,7.0,92.0,-1,1,43,1,7,1,7,6,1,6,1,8,27,1,-1,-1,38.907778,-76.864444,15.2
7368,942000,2000,1,0,37,-6.5,48.5,0,72.0,0.0,-1.0,1,1,37,1,-1,1,8,11,0,3,0,3,23,0,3,-1,38.632778,-90.188611,-1.0
7369,9102000,2000,2,0,0,-3.0,38.5,0,92.0,5.0,31.0,-1,1,0,1,8,1,8,10,1,7,1,7,112,2,3,-1,33.4552,-111.9316,375.2
7370,9102000,2000,2,0,3,-3.0,36.5,0,74.0,4.0,80.0,-1,1,3,0,0,0,4,17,0,1,0,4,60,1,-1,-1,39.278056,-76.622778,47.5
7371,9102000,2000,2,0,5,-6.0,38.5,0,73.0,7.0,80.0,-1,1,5,0,2,0,2,13,1,5,1,9,82,1,-1,-1,42.889,-78.8901,178.0
7372,9102000,2000,2,0,8,-6.0,40.5,0,74.0,7.0,91.0,-1,0,8,0,0,0,4,9,0,0,0,4,76,1,-1,-1,39.095,-84.516,193.9
7373,9102000,2000,2,0,11,-4.5,47,0,71.0,10.0,26.0,-1,1,11,0,3,0,3,1,1,6,1,8,69,1,-1,-1,39.74611111,-105.0216667,1611.2
7374,9102000,2000,2,0,43,-5.5,43,0,72.0,0.0,-1.0,1,1,12,1,5,1,9,43,1,7,1,7,79,0,3,-1,42.64583333,-83.255,-1.0
7375,9102000,2000,2,0,16,-6.5,44,0,72.0,0.0,-1.0,1,0,16,0,1,0,2,29,0,3,0,3,84,0,3,-1,39.76361111,-86.16333333,-1.0
7376,9102000,2000,2,0,24,-3.0,42.5,0,72.0,0.0,-1.0,1,1,24,1,5,1,9,23,0,2,0,2,44,0,3,-1,44.973889,-93.258056,-1.0
7377,9102000,2000,2,0,30,-3.0,39.5,0,74.0,7.0,82.0,-1,0,30,1,7,1,7,27,1,7,1,7,114,1,-1,-1,39.906667,-75.171111,3.0
7378,9102000,2000,2,0,33,-5.5,35.5,0,67.0,7.0,78.0,-1,0,33,0,3,0,3,26,1,6,1,8,81,1,-1,-1,32.783056,-117.119444,145.4
7379,9102000,2000,2,0,6,-3.0,48,0,59.0,11.0,76.0,-1,0,34,1,8,1,8,6,1,6,1,8,15,1,-1,-1,37.713611,-122.386111,2.4
7380,9102000,2000,2,0,37,-7.5,46,0,56.0,8.0,93.0,-1,0,35,1,8,0,3,37,1,-1,1,8,45,1,-1,-1,47.650278,-122.301667,93.0
7381,9102000,2000,2,0,38,-7.0,36.5,0,82.0,9.0,76.0,-1,1,38,1,6,1,9,7,1,5,1,9,83,1,-1,-1,27.975833,-82.503333,5.8
7382,9102000,2000,2,0,40,-8.5,38.5,0,78.0,8.0,71.0,-1,1,40,0,1,0,4,18,0,3,0,3,72,1,-1,-1,36.166389,-86.771389,182.9
7383,9112000,2000,2,0,28,-6.5,39.5,0,73.0,9.0,74.0,-1,1,28,1,2,1,2,25,0,2,0,2,36,1,-1,-1,40.812222,-74.076944,2.1
7384,9172000,2000,3,0,6,-6.0,48.5,0,59.0,8.0,64.0,-1,0,6,1,6,1,8,1,1,6,1,8,11,1,-1,-1,35.225833,-80.852778,221.9
7385,9172000,2000,3,0,7,-2.0,42,0,64.0,10.0,52.0,-1,0,7,1,5,1,9,27,1,7,1,7,93,1,-1,-1,41.8623,-87.6167,177.7
7386,9172000,2000,3,0,32,-2.5,35.5,0,57.0,14.0,68.0,-1,1,9,0,0,0,4,32,0,0,0,4,29,1,-1,-1,41.506111,-81.699444,238.0
7387,9172000,2000,3,0,38,-3.0,34.5,0,72.0,0.0,-1.0,1,0,12,1,5,1,9,38,1,6,1,9,79,0,3,-1,42.64583333,-83.255,-1.0
7388,9172000,2000,3,0,13,-4.0,42.5,0,60.0,9.0,63.0,-1,1,13,1,5,1,9,30,1,7,1,7,50,1,-1,-1,44.501389,-88.062222,209.4
7389,9172000,2000,3,0,17,-13.0,41,0,74.0,12.0,88.0,-1,1,17,0,1,0,4,8,0,0,0,4,26,1,-1,-1,30.23333,-81.66667,6.1
7390,9172000,2000,3,0,18,-4.5,35.5,0,69.0,9.0,44.0,-1,1,18,0,3,0,3,33,0,3,0,3,7,1,-1,-1,39.048889,-94.483889,264.9
7391,9172000,2000,3,0,3,-1.5,34.5,0,83.0,16.0,76.0,-1,1,23,0,2,0,2,3,0,0,0,4,99,1,-1,-1,25.7905,-80.3163,8.8
