,schedule_date,schedule_season,schedule_week,schedule_playoff,team_favorite_id,spread_favorite,over_under_line,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,"winner(0_away,1_home,2_tie)",team_name_home,team_conference_home,team_division_home,team_conference_pre2002_home,team_division_pre2002_home,team_name_away,team_conference_away,team_division_away,team_conference_pre2002_away,team_division_pre2002_away,stadium_name,stadium_type,stadium_weather_type,stadium_surface,stadium_latitude,stadium_longitude,stadium_elevation
0,921966,1966,1,0,-1,-1.0,-1,0,83.0,6.0,71.0,-1,0,23,0,2,0,2,29,0,3,0,3,75,1,-1,-1,25.7905,-80.3163,8.8
1,931966,1966,1,0,-1,-1.0,-1,0,81.0,7.0,70.0,-1,1,14,0,-1,0,4,11,0,3,0,3,87,1,-1,-1,29.716389,-95.409167,-1.0
2,941966,1966,1,0,-1,-1.0,-1,0,70.0,7.0,82.0,-1,1,33,0,3,0,3,5,0,2,0,2,10,1,-1,-1,37.725353,-122.445496,-1.0
3,991966,1966,2,0,-1,-1.0,-1,0,82.0,11.0,78.0,-1,0,23,0,2,0,2,28,1,2,1,2,75,1,-1,-1,25.7905,-80.3163,8.8
4,9101966,1966,1,0,-1,-1.0,-1,0,64.0,8.0,62.0,-1,1,13,1,5,1,9,2,0,-1,0,2,50,1,-1,-1,44.501389,-88.062222,209.4
5,9101966,1966,2,0,-1,-1.0,-1,0,77.0,6.0,82.0,-1,1,14,0,-1,0,4,29,0,3,0,3,87,1,-1,-1,29.716389,-95.409167,-1.0
6,9101966,1966,2,0,-1,-1.0,-1,0,69.0,9.0,81.0,-1,1,33,0,3,0,3,25,0,2,0,2,10,1,-1,-1,37.725353,-122.445496,-1.0
7,9111966,1966,1,0,-1,-1.0,-1,0,71.0,7.0,57.0,-1,0,1,1,6,1,8,22,1,8,1,8,9,1,-1,-1,33.739,84.389,-1.0
8,9111966,1966,2,0,-1,-1.0,-1,0,63.0,11.0,73.0,-1,0,5,0,2,0,2,18,0,3,0,3,115,1,-1,-1,42.905,-78.856,-1.0
9,9111966,1966,1,0,-1,-1.0,-1,0,67.0,7.0,73.0,-1,1,12,1,5,1,9,7,1,5,1,9,105,1,-1,-1,30.412222,-91.183889,-1.0
10,9111966,1966,1,0,-1,-1.0,-1,0,64.0,5.0,70.0,-1,2,32,0,0,0,4,27,1,7,1,7,78,1,-1,-1,40.446667,-80.015833,-1.0
11,9111966,1966,1,0,-1,-1.0,-1,0,60.0,25.0,75.0,-1,2,34,1,8,1,8,24,1,5,1,9,49,1,-1,-1,37.767,-122.456,-1.0
12,9111966,1966,1,0,-1,-1.0,-1,0,72.0,5.0,70.0,-1,1,36,1,-1,1,7,30,1,7,1,7,13,1,-1,-1,38.56667,-90.36667,189.0
13,9111966,1966,1,0,-1,-1.0,-1,0,65.0,8.0,52.0,-1,0,43,1,7,1,7,9,0,0,0,4,86,1,-1,-1,38.9133,-76.97,15.2
14,9161966,1966,2,0,-1,-1.0,-1,0,72.0,10.0,52.0,-1,1,22,1,8,1,8,7,1,5,1,9,55,1,-1,-1,34.014167,-118.287778,29.6
15,9181966,1966,3,0,-1,-1.0,-1,0,61.0,3.0,67.0,-1,1,5,0,2,0,2,23,0,2,0,2,115,1,-1,-1,42.905,-78.856,-1.0
16,9181966,1966,2,0,-1,-1.0,-1,0,62.0,6.0,57.0,-1,0,9,0,0,0,4,13,1,5,1,9,18,1,-1,-1,41.4057,-81.852,238.0
17,9181966,1966,2,0,-1,-1.0,-1,0,72.0,9.0,82.0,-1,1,10,1,7,1,7,27,1,7,1,7,19,1,-1,-1,32.747841,-97.093628,-1.0
18,9181966,1966,3,0,-1,-1.0,-1,0,59.0,7.0,53.0,-1,0,11,0,3,0,3,25,0,2,0,2,69,1,-1,-1,39.74611111,-105.0216667,1611.2
19,9181966,1966,2,0,-1,-1.0,-1,0,60.0,4.0,64.0,-1,0,24,1,5,1,9,2,0,-1,0,2,68,1,-1,-1,44.8831,-93.2289,265.8
20,9181966,1966,3,0,-1,-1.0,-1,0,68.0,9.0,58.0,-1,1,28,1,2,1,2,14,0,-1,0,4,91,1,-1,-1,40.755556,-73.848056,-1.0
21,9181966,1966,3,0,-1,-1.0,-1,0,65.0,11.0,82.0,-1,0,29,0,3,0,3,18,0,3,0,3,74,1,-1,-1,37.751667,-122.200556,1.8
22,9181966,1966,2,0,-1,-1.0,-1,0,61.0,5.0,74.0,-1,1,30,1,7,1,7,1,1,6,1,8,33,1,-1,-1,39.952305,-75.193703,-1.0
23,9181966,1966,2,0,-1,-1.0,-1,0,62.0,4.0,67.0,-1,1,32,0,0,0,4,12,1,5,1,9,78,1,-1,-1,40.446667,-80.015833,-1.0
24,9181966,1966,2,0,-1,-1.0,-1,0,63.0,5.0,72.0,-1,1,36,1,-1,1,7,43,1,7,1,7,13,1,-1,-1,38.56667,-90.36667,189.0
25,9251966,1966,3,0,-1,-1.0,-1,0,56.0,7.0,68.0,-1,1,2,0,-1,0,2,34,1,8,1,8,62,1,-1,-1,39.1733,-76.684,47.5
26,9251966,1966,4,0,-1,-1.0,-1,0,55.0,20.0,53.0,-1,0,4,0,-1,0,-1,18,0,3,0,3,28,-1,-1,-1,42.346268,71.095764,-1.0
27,9251966,1966,4,0,-1,-1.0,-1,0,51.0,13.0,67.0,-1,1,5,0,2,0,2,14,0,-1,0,4,115,1,-1,-1,42.905,-78.856,-1.0
28,9251966,1966,3,0,-1,-1.0,-1,0,53.0,9.0,72.0,-1,0,9,0,0,0,4,36,1,-1,1,7,18,1,-1,-1,41.4057,-81.852,238.0
29,9251966,1966,3,0,-1,-1.0,-1,0,76.0,12.0,60.0,-1,1,10,1,7,1,7,24,1,5,1,9,19,1,-1,-1,32.747841,-97.093628,-1.0
30,9251966,1966,4,0,-1,-1.0,-1,0,66.0,9.0,50.0,-1,0,11,0,3,0,3,28,1,2,1,2,69,1,-1,-1,39.74611111,-105.0216667,1611.2
31,9251966,1966,3,0,-1,-1.0,-1,0,56.0,9.0,58.0,-1,1,12,1,5,1,9,1,1,6,1,8,105,1,-1,-1,30.412222,-91.183889,-1.0
32,9251966,1966,3,0,-1,-1.0,-1,0,46.0,9.0,56.0,-1,1,13,1,5,1,9,22,1,8,1,8,50,1,-1,-1,44.501389,-88.062222,209.4
33,9251966,1966,4,0,-1,-1.0,-1,0,64.0,12.0,80.0,-1,0,29,0,3,0,3,33,0,3,0,3,74,1,-1,-1,37.751667,-122.200556,1.8
34,9251966,1966,3,0,-1,-1.0,-1,0,55.0,11.0,74.0,-1,1,30,1,7,1,7,27,1,7,1,7,33,1,-1,-1,39.952305,-75.193703,-1.0
35,9251966,1966,3,0,-1,-1.0,-1,0,53.0,10.0,80.0,-1,0,32,0,0,0,4,43,1,7,1,7,78,1,-1,-1,40.446667,-80.015833,-1.0
36,9301966,1966,4,0,-1,-1.0,-1,0,70.0,9.0,76.0,-1,1,22,1,8,1,8,34,1,8,1,8,55,1,-1,-1,34.014167,-118.287778,29.6
