stadium_name,stadium_location,stadium_type,stadium_address,stadium_weather_type,stadium_surface,stadium_latitude,stadium_longitude,stadium_elevation
Acrisure Stadium,"Pittsburgh, PA",outdoor,"100 Art Rooney Ave, Pittsburgh, PA 15212",cold,Grass,40.4846,-80.2144,366.7
Alamo Dome,"San Antonio, TX",indoor,"100 Montana St, San Antonio, TX 78203",indoor,FieldTurf,29.416944,-98.478889,
Allegiant Stadium,"Paradise, NV",indoor,3333 Al Davis Way,indoor,Grass,36.09075,-115.183722,
Allianz Arena,"Munich, Germany",outdoor,"Werner-Heisenberg-Allee 25, 80939",moderate,Grass,48.218967,11.623746,
Alltel Stadium,"Jacksonville, FL",,1 TIAA Bank Field Drive,warm,,30.323889,-81.6375,6.1
Alumni Stadium,"Chestnut Hill, MA",outdoor,"Perimeter Rd, Chestnut Hill, MA 02467",cold,Grass,42.334988,71.166451,
Anaheim Stadium,"Anaheim, CA",outdoor,"2000 E Gene Autry Way, Anaheim, CA 92806",warm,,33.80056,-117.883438,
Arrowhead Stadium,"Kansas City, MO",outdoor,"1 Arrowhead Dr, Kansas City, MO 64129",cold,Grass,39.048889,-94.483889,264.9
AT&T Stadium,"Arlington, TX",retractable,"1 AT&T Way, Arlington, TX 76011",indoor,FieldTurf,32.747778,-97.092778,163.4
Atlanta-Fulton County Stadium,"Atlanta, GA",outdoor,"521 Capitol Avenue SE, Atlanta, Georgia 30312",warm,,33.739,84.389,
Balboa Stadium,"San Diego, CA",outdoor,"Balboa Stadium, San Diego, CA 92101",warm,Grass,37.725353,-122.445496,
Bank of America Stadium,"Charlotte, NC",outdoor,"800 S Mint St, Charlotte, NC 28202",moderate,Grass,35.225833,-80.852778,221.9
Bills Stadium,"Orchard Park, NY",outdoor,"1 Bills Dr, Orchard Park, NY 14127",cold,FieldTurf,42.889,-78.8901,178
Busch Memorial Stadium,"St. Louis, MO",outdoor,"700 Clark Ave, St. Louis, MO 63102",cold,,38.56667,-90.36667,189
Caesars Superdome,"New Orleans, LA",indoor,"1500 Sugar Bowl Dr, New Orleans, LA 70112",indoor,FieldTurf,29.951439,-90.08197,
Candlestick Park,"San Francisco, CA",outdoor,"490 Jamestown Ave, San Francisco, CA 94124",moderate,,37.713611,-122.386111,2.4
CenturyLink Field,"Seattle, WA",outdoor,"800 Occidental Ave S, Seattle, WA 98134",moderate,FieldTurf,47.5952,-122.3316,93
Cinergy Field,"Cincinnati, OH",outdoor,"201 East Joe Nuxhall Way, Cincinnati 45202",cold,,39.1,-84.51667,193.9
Cleveland Municipal Stadium,"Cleveland, OH",outdoor,"1085 West 3rd Street, Cleveland, Ohio 44114",cold,,41.4057,-81.852,238
Cotton Bowl,"Dallas, TX",outdoor,"1300 Robert B Cullum Blvd., Dallas, TX 75210",moderate,"Grass, Turf (1970-1971)",32.747841,-97.093628,
Cowboys Stadium,"Arlington, TX",retractable,"1 AT&T Way, Arlington, TX 76011",indoor,FieldTurf,32.7572,-97.0736,163.4
Dignity Health Sports Park,"Carson, CA",outdoor,"18400 S Avalon Blvd, Carson, CA 90746",warm,Grass,33.864,-118.261,
Dolphin Stadium,"Miami, FL",,"347 Don Shula Dr, Miami Gardens, FL 33056",warm,,25.7905,-80.3163,8.8
Edward Jones Dome,"St. Louis, MO",indoor,"901 N Broadway, St. Louis, MO 63101",indoor,,38.632778,-90.188611,
Empower Field at Mile High,"Denver, CO",outdoor,"1701 Bryant St, Denver, CO 80204",cold,Grass,39.743889,-105.02,1611.2
Estadio Azteca,"Mexico City, Mexico",outdoor,"Calz. de Tlalpan 3465, Sta. ê_rsula Coapa, Coyoac_†çn, 04650 Ciudad de MÅ_xico, D.F., Mexico",warm,,19.302911,-99.150442,
EverBank Field,"Jacksonville, FL",outdoor,"1 Everbank Field Dr, Jacksonville, FL 32202",warm,Grass,30.23333,-81.66667,6.1
FedEx Field,"Landover, MD",outdoor,"1600 Fedex Way, Hyattsville, MD 20785",moderate,Grass,38.907778,-76.864444,15.2
Fenway Park,"Boston, MA",,4 Jersey Street,,,42.346268,71.095764,
FirstEnergy Stadium,"Cleveland, OH",outdoor,"100 Alfred Lerner Way, Cleveland, OH 44114",cold,Grass,41.506111,-81.699444,238
Ford Field,"Detroit, MI",indoor,"2000 Brush St, Detroit, MI 48226",indoor,FieldTurf,42.34,-83.045556,
Foxboro Stadium,"Foxborough, MA",outdoor,"1 Patriot Pl, Foxborough, MA 02035",cold,,42.0927,-71.267442,24.4
Frankfurt Stadium,"Frankfurt, Germany",retractable,Mˆrfelder Landstraﬂe 362,,,50.068056,8.645806,
Franklin Field,"Philadelphia, PA",outdoor,"S. 33rd and Spruce St., Philadelphia, PA 19104",cold,"Grass, Turf (1969-1970)",39.952305,-75.193703,
GEHA Field at Arrowhead Stadium,"Kansas City, MO",outdoor,"1 Arrowhead Dr, Kansas City, MO 64129",cold,Grass,39.048889,-94.483889,264.9
Georgia Dome,"Atlanta, GA",indoor,"1 Georgia Dome Dr, Atlanta, GA 30313",indoor,FieldTurf,33.758,-84.401,
Giants Stadium,"East Rutherford, NJ",outdoor,"1 MetLife Stadium Dr, East Rutherford, NJ 07073",cold,,40.812222,-74.076944,2.1
